level,remaining_spins,balance,total_spend,add_times
1,883,12.664001,250,4
1,883,13.332001,250,4
1,875,9.330002,250,4
1,886,16.664001,250,4
1,887,10.0,250,4
2,2672.0,315.998,250,4
1,876,9.996002,250,4
10,190678.0,7662.0625,100,1
2,2640.0,5.991974,250,4
1,884,9.998001,250,4
1,881,8.660004,250,4
1,877,12.660004,250,4
2,2650.0,10.660003,250,4
1,875,15.998001,250,4
1,878,17.998001,250,4
1,887,16.666,250,4
1,881,28.660004,250,4
1,887,10.0,250,4
1,885,29.998001,250,4
3,6195.0,5.9900208,250,4
1,871,13.326004,250,4
2,2647.0,31.332016,250,4
1,887,10.0,250,4
1,883,10.0,250,4
1,869,14.664001,250,4
4,11550.0,11.312302,250,4
1,881,8.664001,250,4
1,881,61.328003,250,4
1,869,13.994003,250,4
1,885,1.3320007,250,4
1,880,7.3320007,250,4
4,11544.0,19.316345,250,4
1,884,3.332,250,4
1,881,11.330002,250,4
1,882,13.998001,250,4
1,882,75.998,250,4
2,2686.0,1077.332,250,4
4,11586.0,15.313873,250,4
1,883,3.3300018,250,4
1,885,19.998001,250,4
6,29169.0,14.606918,250,4
2,2648.0,10.650009,250,4
1,881,32.664,250,4
1,886,17.332,250,4
1,871,9.998001,250,4
1,871,17.996002,250,4
1,886,21.332,250,4
1,874,75.33,250,4
1,882,16.0,250,4
1,885,7.9980006,250,4
1,881,7.3280025,250,4
1,876,17.994003,250,4
3,6231.0,7.325989,250,4
1,869,4.6620026,250,4
1,877,21.998001,250,4
1,876,41.33,250,4
7,43261.0,6.557785,250,4
1,881,11.332001,250,4
2,2655.0,21.994003,250,4
1,886,18.666,250,4
1,887,10.0,250,4
1,882,8.6640005,250,4
1,887,10.0,250,4
1,886,3.3320007,250,4
1,883,11.330002,250,4
1,885,9.998001,250,4
1,864,4.6619873,250,4
1,877,76.664,250,4
1,878,6.6620026,250,4
5,18408.0,6.6061554,250,4
1,885,6.0,250,4
9,106353.0,18.323883,250,4
1,886,11.998001,250,4
1,885,13.328003,250,4
2,2663.0,49.992004,250,4
2,2674.0,378.662,250,4
1,886,47.998,250,4
8,63794.0,33.755478,250,4
3,6191.0,7.319976,250,4
2,2650.0,1.9960022,250,4
5,18412.0,97.26199,250,4
1,880,2.6660004,250,4
2,2661.0,10.660004,250,4
1,884,7.998001,250,4
2,2643.0,10.660004,250,4
1,885,17.996002,250,4
5,18529.0,14.610351,250,4
1,881,11.996002,250,4
6,29095.0,14.599182,250,4
1,885,18.666,250,4
7,42795.0,5.819503,250,4
1,880,3.3300018,250,4
1,874,2.6620026,250,4
1,884,8.666,250,4
2,2659.0,1.9959717,250,4
3,6231.0,113.321976,250,4
5,18524.0,5.278305,250,4
1,867,4.6640015,250,4
1,874,1.9940033,250,4
5,18549.0,10.624786,250,4
2,2647.0,11.988007,250,4
1,881,58.664,250,4
1,884,77.996,250,4
1,873,10.662003,250,4
2,2657.0,14.662003,250,4
2,2662.0,17.996002,250,4
7,43079.0,15.190842,250,4
4,11519.0,17.975952,250,4
1,874,14.662003,250,4
2,2651.0,5.9959717,250,4
1,877,24.662003,250,4
1,885,16.666,250,4
1,884,45.33,250,4
1,883,16.664001,250,4
1,863,1.9979858,250,4
1,882,9.332001,250,4
1,885,57.332,250,4
1,884,21.994003,250,4
1,882,9.994003,250,4
2,2660.0,5.9940023,250,4
1,881,6.6620026,250,4
1,881,33.33,250,4
5,18475.0,1.2663574,250,4
1,886,93.998,250,4
1,874,15.330002,250,4
5,18605.0,7.958313,250,4
1,886,0.66400146,250,4
10,190751.0,9330.741,200,3
1,886,0.66600037,250,4
1,884,16.666,250,4
