level,remaining_spins,balance,total_spend,add_times
10,190987.0,738.1771,50,0
9,106013.0,0.8802643,250,4
5,18414.0,0.9635701,250,4
10,190431.0,360.54095,150,2
7,42415.0,0.82099533,250,4
8,63698.0,0.28654528,250,4
6,28872.0,0.2609203,250,4
7,42753.0,0.92295563,250,4
10,191113.0,968.4084,150,2
7,42819.0,0.4581654,250,4
10,190797.0,603.3392,100,1
7,42739.0,0.8568833,250,4
7,42748.0,0.89187527,250,4
5,18425.0,3.3969002,250,4
7,43036.0,0.42543936,250,4
8,63783.0,0.38587523,250,4
10,190362.0,263.06534,200,3
7,42548.0,0.22282267,250,4
8,63555.0,0.75116205,250,4
6,28785.0,0.12742662,250,4
5,18205.0,0.5626997,250,4
10,190738.0,489.9418,50,0
8,63441.0,1.1843574,250,4
6,28687.0,0.09433687,250,4
9,105883.0,1.0807636,250,4
10,190741.0,591.3414,150,2
7,42916.0,0.5247302,250,4
7,42984.0,0.5918598,250,4
6,28684.0,8.625715,250,4
8,63091.0,0.18231583,250,4
6,28718.0,0.1602087,250,4
9,103924.0,0.7997334,250,4
7,42893.0,0.891768,250,4
6,28949.0,0.62812114,250,4
5,18200.0,0.129138,250,4
7,42673.0,0.9561882,250,4
8,63426.0,1.0847058,250,4
6,28752.0,2.693487,250,4
7,42664.0,2.2903824,250,4
4,11262.0,0.9976063,250,4
8,63450.0,0.35087395,250,4
5,18314.0,0.4630127,250,4
10,190444.0,525.23315,250,4
6,28794.0,0.22761488,250,4
5,18231.0,0.19651222,250,4
7,42475.0,0.28959656,250,4
7,42612.0,0.6229415,250,4
7,42505.0,0.6227274,250,4
9,105729.0,0.47793198,250,4
9,105374.0,0.980528,250,4
7,42946.0,1.2236313,250,4
10,190592.0,530.8002,100,1
7,42715.0,0.98943114,250,4
9,103835.0,1.1006253,250,4
6,28815.0,0.36051178,250,4
5,18304.0,0.49550223,250,4
7,43010.0,0.3265531,250,4
10,190265.0,179.49802,200,3
9,103937.0,0.93286014,250,4
7,42400.0,0.6885576,250,4
8,63600.0,0.5529053,250,4
10,190164.0,64.23068,200,3
7,42484.0,0.35601568,250,4
9,104298.0,1.3359348,250,4
10,190973.0,986.203,250,4
10,190508.0,458.1341,250,4
6,28683.0,1.0930294,250,4
10,190680.0,645.7691,100,1
5,18299.0,0.8289397,250,4
7,42721.0,1.7896999,250,4
6,28827.0,0.8608401,250,4
8,63866.0,0.48880386,250,4
7,42629.0,0.48977804,250,4
5,18245.0,0.39473915,250,4
4,11257.0,1.3972023,250,4
8,63737.0,0.3196349,250,4
9,103893.0,0.9978416,250,4
7,42921.0,0.55869675,250,4
9,105975.0,0.81361246,250,4
9,105020.0,0.7095387,250,4
5,18207.0,0.82900536,250,4
6,28737.0,0.8935189,250,4
8,63931.0,0.45458817,250,4
6,28819.0,0.29431438,250,4
7,42914.0,0.19247484,250,4
7,42635.0,0.35750675,250,4
7,42623.0,2.0574713,250,4
8,63708.0,0.95296335,250,4
7,42615.0,1.223256,250,4
8,63244.0,0.5164981,250,4
7,42631.0,0.18930197,250,4
6,28760.0,0.09353924,250,4
10,190505.0,417.20755,200,3
8,63150.0,0.88243914,250,4
9,104842.0,0.30351877,250,4
8,63163.0,0.2810154,250,4
6,28665.0,0.22661424,250,4
6,28724.0,1.260666,250,4
6,28757.0,9.959398,250,4
9,105827.0,0.14680004,250,4
9,105903.0,0.97875977,250,4
7,42616.0,1.1899437,250,4
5,18420.0,6.9304085,250,4
6,28764.0,0.39363277,250,4
6,28816.0,0.8267082,250,4
8,63499.0,0.18560863,250,4
9,104296.0,1.6679802,250,4
9,106060.0,0.8802242,250,4
7,42772.0,0.7914772,250,4
6,28938.0,1.2273176,250,4
10,190491.0,341.10577,150,2
5,18328.0,0.1296109,250,4
5,18169.0,0.42911768,250,4
9,104033.0,0.9383118,250,4
7,42915.0,0.62485385,250,4
5,18366.0,9.196511,250,4
9,103755.0,0.103055954,250,4
8,63332.0,1.581588,250,4
8,63954.0,24.753155,250,4
10,191515.0,1323.8065,100,1
7,42510.0,0.4213953,250,4
6,28879.0,0.86081505,250,4
9,104829.0,2.6694958,250,4
5,18235.0,0.12931752,250,4
9,105216.0,0.44039202,250,4
10,190514.0,364.3056,150,2
4,11259.0,9.796907,250,4
6,28704.0,0.19339013,250,4
5,18151.0,0.62820375,250,4
10,190070.0,32.764294,250,4
7,43042.0,0.7933006,250,4
5,18164.0,0.5286207,250,4
8,63864.0,0.6530931,250,4
9,105950.0,0.7472961,250,4
7,43012.0,1.1255391,250,4
8,63640.0,0.6845083,250,4
9,104494.0,0.56923485,250,4
10,190412.0,202.23773,50,0
6,28855.0,0.16105318,250,4
9,104118.0,0.8341546,250,4
7,42981.0,0.45980453,250,4
8,63548.0,0.053315163,250,4
4,11282.0,0.6308031,250,4
7,43048.0,0.8252454,250,4
8,63501.0,0.78504705,250,4
10,190265.0,230.86833,250,4
8,63930.0,0.65580297,250,4
10,191168.0,992.4792,50,0
10,190410.0,265.4069,150,2
9,105603.0,0.9771671,250,4
7,42439.0,0.85571754,250,4
9,106073.0,1.2810296,250,4
8,63278.0,1.18449,250,4
9,104260.0,0.60236883,250,4
7,42958.0,0.02563858,250,4
6,28823.0,10.427622,250,4
10,190517.0,281.27344,50,0
7,42473.0,0.020837784,250,4
7,42673.0,0.88995504,250,4
9,106069.0,0.28138423,250,4
5,18151.0,0.7954314,250,4
7,42619.0,0.42343462,250,4
8,63499.0,0.5855217,250,4
10,190778.0,528.41125,50,0
6,28858.0,0.82718825,250,4
7,43002.0,0.8931804,250,4
9,105914.0,0.5128467,250,4
10,190437.0,403.7373,250,4
7,42613.0,1.2889699,250,4
8,63406.0,0.5827627,250,4
7,42646.0,0.5228584,250,4
6,28927.0,1.5615253,250,4
9,105203.0,0.47493285,250,4
4,11329.0,0.9646969,250,4
7,42400.0,0.5554185,250,4
5,18223.0,1.4957947,250,4
6,28932.0,0.69548965,250,4
8,63932.0,0.48731565,250,4
7,42752.0,0.49098682,250,4
7,42708.0,0.7577163,250,4
10,191288.0,1089.5397,100,1
9,105548.0,0.4749651,250,4
8,63045.0,0.7488265,250,4
9,105950.0,0.812369,250,4
10,190489.0,439.07187,250,4
6,28865.0,1.4270338,250,4
5,18409.0,0.5637016,250,4
7,42831.0,0.1588397,250,4
8,63359.0,1.3505914,250,4
8,63856.0,0.75409174,250,4
10,190565.0,547.10016,250,4
7,42925.0,0.32567954,250,4
6,28879.0,0.9944916,250,4
10,190436.0,336.33707,200,3
8,63148.0,0.34828472,250,4
7,42482.0,0.7212219,250,4
