level,remaining_spins,balance,total_spend,add_times
10,73583.0,83.03229,150,2
5,7413.0,0.19604301,250,4
7,16570.0,0.45549047,250,4
7,16482.0,3.3545594,250,4
10,73547.0,212.73158,250,4
8,24699.0,0.9838904,250,4
7,16860.0,0.3578061,250,4
5,7569.0,0.3298111,250,4
9,38877.0,0.8332503,250,4
7,16914.0,0.25880575,250,4
5,7478.0,0.9293003,250,4
10,74179.0,814.37067,250,4
7,17117.0,0.19310546,250,4
7,16562.0,0.32211256,250,4
6,11633.0,0.49469948,250,4
5,7543.0,0.8294077,250,4
8,24153.0,0.94896793,250,4
6,11430.0,0.8258575,250,4
10,73660.0,227.03194,200,3
7,17100.0,0.86008453,250,4
8,24774.0,0.41915596,250,4
6,11643.0,0.36142778,250,4
5,7391.0,0.1288929,250,4
5,7354.0,3.1616063,250,4
7,16763.0,0.62358046,250,4
8,24105.0,2.9800673,250,4
5,7624.0,0.79688835,250,4
10,73713.0,266.89667,200,3
9,40955.0,0.6113877,250,4
10,73800.0,391.30444,250,4
8,24168.0,0.7490206,250,4
7,17088.0,0.82581365,250,4
7,17034.0,0.9253205,250,4
5,7564.0,0.42998838,250,4
6,11391.0,1.526118,250,4
7,16859.0,0.15658593,250,4
10,73602.0,92.93068,150,2
8,24386.0,0.9172764,250,4
7,17065.0,0.35940456,250,4
8,24774.0,0.38725424,250,4
10,73478.0,29.830885,200,3
10,74411.0,981.3063,200,3
5,7542.0,0.7297044,250,4
9,39912.0,1.3038589,250,4
6,11584.0,3.160508,250,4
9,40862.0,0.8111687,250,4
5,7570.0,0.5296037,250,4
10,73605.0,84.36605,100,1
7,16602.0,1.4225566,250,4
6,11392.0,0.7926507,250,4
9,40419.0,0.27484655,250,4
8,25050.0,0.7876992,250,4
8,25034.0,0.4526608,250,4
9,40088.0,2.3400102,250,4
8,24227.0,0.9153137,250,4
9,41080.0,0.8794489,250,4
10,74162.0,811.8373,200,3
9,39314.0,1.7685747,250,4
4,4792.0,1.5299959,250,4
6,11518.0,0.09385204,250,4
7,16882.0,0.95814896,250,4
6,11442.0,0.82769835,250,4
5,7437.0,5.2963214,250,4
8,25027.0,0.62087107,250,4
6,11625.0,2.6947901,250,4
7,16763.0,0.58976793,250,4
10,74060.0,573.37415,150,2
6,11503.0,6.3935056,250,4
6,11601.0,0.62760115,250,4
5,7439.0,0.6961186,250,4
5,7440.0,0.7291076,250,4
9,41206.0,0.41327953,250,4
7,16894.0,0.92430973,250,4
5,7509.0,0.72962785,250,4
5,7411.0,1.1951125,250,4
5,7613.0,0.7301836,250,4
10,73551.0,141.19714,250,4
7,16884.0,0.22534657,250,4
10,74196.0,750.3358,200,3
9,39708.0,0.13806534,250,4
10,73627.0,163.16534,150,2
8,24845.0,15.753431,250,4
8,24420.0,0.38364553,250,4
9,39337.0,0.70044374,250,4
7,16790.0,1.9898443,250,4
8,24842.0,0.6527803,250,4
8,24380.0,0.58321357,250,4
5,7572.0,0.030123472,250,4
5,7629.0,0.19669652,250,4
10,74068.0,509.04337,100,1
7,16467.0,0.15420032,250,4
7,16811.0,0.12404251,250,4
5,7599.0,0.3304963,250,4
9,41047.0,0.776441,250,4
7,17119.0,0.06008625,250,4
6,11567.0,2.92851,250,4
9,41341.0,0.88088894,250,4
9,40285.0,1.5089059,250,4
5,7450.0,0.096025944,250,4
7,16964.0,3.4587479,250,4
7,17016.0,0.19212294,250,4
5,7489.0,0.23011065,250,4
10,73983.0,523.3356,200,3
8,24297.0,2.9135711,250,4
10,74024.0,467.46906,100,1
8,24381.0,0.15141392,250,4
10,73749.0,339.30502,250,4
9,39896.0,0.50649405,250,4
6,11619.0,0.3943342,250,4
7,16495.0,0.38839245,250,4
10,73454.0,52.5995,250,4
10,74307.0,748.8135,100,1
7,16739.0,0.85652685,250,4
5,7450.0,1.0958353,250,4
10,74158.0,598.70355,100,1
10,73832.0,328.4055,150,2
7,16991.0,0.15866184,250,4
5,7370.0,0.7291969,250,4
6,11485.0,0.6607733,250,4
8,24901.0,1.5529915,250,4
5,7470.0,0.42951238,250,4
5,7578.0,0.46278143,250,4
6,11403.0,0.92663264,250,4
5,7380.0,0.9616022,250,4
8,24986.0,1.0541625,250,4
6,11641.0,0.42772675,250,4
9,39815.0,1.2358726,250,4
7,17013.0,0.59291315,250,4
6,11586.0,0.49474192,250,4
10,73715.0,205.86745,150,2
6,11493.0,0.3939352,250,4
8,24638.0,0.8508916,250,4
8,24996.0,0.6879605,250,4
8,24261.0,0.5154996,250,4
5,7409.0,0.5290036,250,4
5,7542.0,0.4288137,250,4
7,16722.0,0.7233703,250,4
7,16721.0,0.25709772,250,4
7,16908.0,0.05847597,250,4
10,74149.0,541.6083,50,0
6,11602.0,0.72721934,250,4
5,7391.0,1.1622319,250,4
8,24436.0,1.2154897,250,4
10,73496.0,38.2995,200,3
7,17120.0,0.2929573,250,4
7,16810.0,3.6241531,250,4
8,24576.0,0.31729984,250,4
8,24907.0,0.75307083,250,4
7,16931.0,0.8249357,250,4
7,16891.0,2.357846,250,4
8,24947.0,0.51966953,250,4
10,73954.0,361.80444,50,0
8,24997.0,33.021675,250,4
9,39272.0,0.5673349,250,4
9,39846.0,0.8376483,250,4
7,17047.0,0.72594357,250,4
8,24119.0,0.115641594,250,4
10,74274.0,754.1748,100,1
9,40557.0,0.3441124,250,4
8,24118.0,0.6149621,250,4
9,40706.0,0.010324001,250,4
8,24731.0,0.15128851,250,4
5,7549.0,0.6962042,250,4
8,24330.0,0.91550475,250,4
8,24896.0,1.4855114,250,4
6,11438.0,0.9930347,250,4
10,74428.0,869.3785,100,1
7,17114.0,0.15927982,250,4
7,16804.0,0.3580885,250,4
9,39655.0,0.97057533,250,4
8,24442.0,0.015815496,250,4
7,16703.0,1.5904149,250,4
10,73417.0,7.1353765,250,4
9,39761.0,0.30180454,250,4
9,39826.0,0.77070117,250,4
7,16730.0,0.22233772,250,4
10,73729.0,171.03316,100,1
7,16613.0,1.4898071,250,4
9,39175.0,24.866669,250,4
10,74024.0,491.875,100,1
5,7544.0,0.36352396,250,4
5,7524.0,0.9296074,250,4
7,16533.0,0.38862658,250,4
9,41228.0,0.5470457,250,4
7,17034.0,0.9582143,250,4
8,24296.0,0.5482638,250,4
7,17109.0,0.9921117,250,4
7,16638.0,0.85560656,250,4
10,74691.0,1174.3734,100,1
8,24077.0,2.2453852,250,4
9,41211.0,1.7467984,250,4
6,11453.0,0.12722468,250,4
8,24418.0,1.2166505,250,4
8,24614.0,0.11797094,250,4
10,74052.0,592.6065,200,3
8,24900.0,1.1198909,250,4
7,16726.0,0.3570491,250,4
8,24391.0,23.983187,250,4
10,73860.0,376.23608,150,2
5,7373.0,0.36141205,250,4
8,24949.0,0.9536427,250,4
10,74358.0,803.70416,100,1
7,16781.0,0.35669112,250,4
6,11386.0,0.4586935,250,4
7,17109.0,0.9600923,250,4
6,11647.0,0.12890434,250,4
6,11539.0,0.32779503,250,4
7,16813.0,0.7583554,250,4
7,16852.0,0.9564867,250,4
6,11524.0,0.92789316,250,4
10,74167.0,614.07263,100,1
8,24637.0,0.25218582,250,4
7,16430.0,0.9867796,250,4
9,40074.0,0.3046589,250,4
6,11568.0,0.5945926,250,4
6,11585.0,0.061636925,250,4
9,39260.0,0.86733985,250,4
7,16839.0,1.1904538,250,4
5,7524.0,0.5624099,250,4
6,11520.0,0.89460063,250,4
8,24989.0,0.5867574,250,4
10,74629.0,1089.6473,50,0
9,40183.0,0.47413445,250,4
5,7358.0,0.9289043,250,4
7,16569.0,0.68800473,250,4
6,11421.0,0.3601246,250,4
5,7537.0,1.0957148,250,4
8,24907.0,0.8534298,250,4
10,73838.0,483.03333,200,3
6,11520.0,0.7276107,250,4
5,7386.0,0.12853241,250,4
9,39451.0,0.6692114,250,4
10,74280.0,772.11066,150,2
5,7392.0,1.3291029,250,4
6,11538.0,2.0277922,250,4
7,16923.0,0.991951,250,4
7,16984.0,0.62535286,250,4
10,73748.0,191.26765,100,1
6,11643.0,0.9276843,250,4
7,16507.0,0.75467646,250,4
4,4815.0,0.89720416,250,4
7,16579.0,1.1562608,250,4
7,17107.0,0.5920496,250,4
6,11465.0,0.52712154,250,4
9,39690.0,0.8096776,250,4
10,74002.0,597.4678,250,4
9,39070.0,0.4299177,250,4
6,11563.0,0.66060793,250,4
8,24348.0,0.2834897,250,4
7,17039.0,0.49179506,250,4
10,73835.0,440.8305,200,3
10,73643.0,183.20045,200,3
10,74128.0,619.8769,150,2
8,25010.0,0.55476475,250,4
8,24949.0,2.3539124,250,4
7,17001.0,0.42497957,250,4
6,11638.0,0.7956228,250,4
7,16942.0,0.12409353,250,4
10,73701.0,291.89996,250,4
6,11498.0,0.22794604,250,4
6,11639.0,2.0951767,250,4
8,25019.0,0.32028246,250,4
8,24642.0,1.1847826,250,4
10,73713.0,184.23347,100,1
7,16933.0,0.525674,250,4
10,74323.0,818.6136,150,2
6,11487.0,0.12729836,250,4
7,16981.0,51.85866,250,4
7,17007.0,0.8238543,250,4
9,39676.0,0.13709795,250,4
6,11484.0,0.22703457,250,4
10,73535.0,147.33344,250,4
9,39048.0,0.1050725,250,4
5,7551.0,1.329598,250,4
7,16758.0,0.42430985,250,4
9,38856.0,0.26238954,250,4
6,11550.0,0.3614416,250,4
7,17031.0,0.72580004,250,4
10,74013.0,554.8346,200,3
10,74152.0,642.3028,150,2
7,17128.0,0.8928249,250,4
8,24515.0,0.9504087,250,4
10,74408.0,806.1122,50,0
7,17131.0,2.4270003,250,4
5,7637.0,0.99700975,250,4
5,7554.0,3.0966122,250,4
6,11465.0,0.79350376,250,4
9,40748.0,0.77656245,250,4
8,24114.0,0.3160485,250,4
10,73494.0,84.131035,250,4
10,74916.0,1411.8717,150,2
9,41331.0,0.8155513,250,4
9,39354.0,0.9015943,250,4
10,73591.0,81.63514,150,2
8,24201.0,0.01602459,250,4
6,11629.0,56.395,250,4
10,74533.0,1078.5393,200,3
7,16558.0,0.72337437,250,4
7,16964.0,0.65831864,250,4
10,73837.0,253.03667,50,0
7,16492.0,9.1555605,250,4
7,16810.0,0.99158573,250,4
